timestamp;x;y;z
1432030084308913;75.25;-17.875;-74.1875
1432030084331959;84.5625;-16.125;-83.25
1432030084353974;84.5;-14.375;-93.8125
1432030084368988;75.375;-11.375;-105.125
1432030084392006;80.0625;-7.375;-115.75
1432030084414019;89.9375;-3.8125;-120.063
1432030084428976;86.875;0.3125;-121.438
1432030084453013;72.8125;3.5;-126.75
1432030084474064;61.4375;8.75;-130.625
1432030084491043;63.4375;16.75;-130.625
1432030084512057;52.1875;19.125;-115.813
1432030084534208;47.1875;28.5;-98.5
1432030084551162;22.875;29.0625;-81.6875
1432030084572208;-7.0625;26.25;-69.6875
1432030084594251;-12.5;27.5625;-49.75
1432030084610265;-36;33.1875;-40.625
1432030084632251;-63.1875;31.75;-33.75
1432030084654296;-57.125;19.25;-19.5625
1432030084670280;-31.625;10.9375;-7.75
1432030084692293;-4.125;5.75;-2.8125
1432030084714281;-38.1875;5.25;-7.6875
1432030084730320;-51.3125;11.875;-8.375
1432030084751365;-51.875;12.3125;-12.625
1432030084774377;-48.0625;9.0625;-13.4375
1432030084790363;-47.9375;8.6875;-12.5
1432030084811404;-52.5;9.6875;-12.1875
1432030084834424;-49.75;14.25;-13.375
1432030084850404;-51.25;16.9375;-17.125
1432030084871446;-51.625;18.0625;-18.75
1432030084894467;-45.3125;18.875;-17.8125
1432030084910447;-41.8125;17.5625;-16.75
1432030084931488;-33.125;16.0625;-12.9375
1432030084954610;-29.125;15.875;-10
1432030084970593;-25.125;15.8125;-7.4375
1432030084991638;-26.5625;18.3125;-5
1432030085014648;-13.25;20.3125;-4.5
1432030085030635;-8.9375;18.75;-7.75
1432030085051677;-12.875;16;-9.4375
1432030085074658;-13.4375;17.125;-11.8125
1432030085090678;-17.0625;25.25;-14.4375
1432030085111664;-17.125;24.375;-21.4375
1432030085133815;-29.75;9.125;-4.375
1432030085150831;-40.6875;13;2.75
1432030085171873;0.4375;13.3125;7.1875
1432030085193884;6.6875;11.375;0.875
1432030085210868;-7.6875;10.25;-2.5
1432030085231915;-12.9375;9.875;-4.625
1432030085253929;-19.75;8.5625;-6.875
1432030085270910;-23.8125;8;-7.75
1432030085291900;-27.0625;7.75;-9
1432030085313968;-27.3125;5.8125;-8.0625
1432030085330952;-28.25;5.625;-7.6875
1432030085351999;-20.5;5.8125;-7.25
1432030085374118;-14;5.5625;-4.4375
1432030085392074;-6.5625;5.25;-1.3125
1432030085413174;1.1875;5;1.1875
1432030085434215;-1.125;3.4375;1.9375
1432030085451199;-4.5625;2.75;3.0625
1432030085473223;-5.5;1.3125;3.9375
1432030085494289;-8.625;-0.6875;4.5
1432030085510294;-8.875;-2.0625;4.875
1432030085533259;-7.5625;-2.625;4.1875
1432030085562307;-6.625;-3.5;3.6875
1432030085570319;-6.625;-3.75;2.75
1432030085593325;-3.625;-2.75;3.125
